Place_Name,Description,Categories,City,Price,Ratings,Time_Minutes,Coordinate,Lat,Long,_1,Rating_Count,Categories_Label
Goa Rancang Kencono,"Rancang Kencono Cave, located in Padukuhan Menggoran, Bleberan Village, Playen District, Gunungkidul, Yogyakarta, is one of the caves inhabited by prehistoric to modern humans. It is estimated that this cave, which is located in the Sri Getuk waterfall area, has been inhabited since 3000 years ago. From the book Variety of Cultural Heritage and Cultural Heritage of Gunungkidul written by Winarsih (Head of the Antiquities and Museums Section, Heritage and Cultural Values Preservation Division, Gunungkidul Cultural Service), Archeology UGM Yogyakarta in 2001 had already carried out this research. Rancang Kencono Cave has been inhabited by humans since 3000 years ago with evidence of human bones being found.",Nature preserve,Yogyakarta,5000,43,30.0,"{'lat': -7.9492612, 'lng': 110.4926511}",-79492612,1104926511,148,21,1
Goa Cerme,"Cerme Cave (Javanese: ê¦'ê¦¸ê¦®â€‹ê¦•ê¦ºê¦‚ê¦©ê¦º, translit. Cerme Cave) is a historical cave and also a tourist attraction located in Srunggo Hamlet , Selopamioro Village, Imogiri District, Bantul Regency or about 20 km south of Yogyakarta City. Cerme Cave is 1.5 km long which penetrates to the spring in the Panggang area, namely in Ploso Hamlet, Giritirto Village, Purwosari District, Gunungkidul Regency.\nBesides Cerme Cave, in the surrounding area there are other smaller caves such as Goa Dalang, Goa Ledek , Goa Badut and Goa Kaum which are often used for meditation. To reach the cave, there are stairs as high as 759 m. The word cerme comes from the word lecture which indicates a conversation held by walisongo. Cerme Cave was once used by the Walisongo to spread Islam in Java. Apart from that, Cerme Cave was also used to discuss plans to build the Great Mosque of Demak. Every Monday or Tuesday, a thanksgiving ceremony is always held to ask God for blessings.",Nature preserve,Yogyakarta,3000,44,90.0,"{'lat': -7.979441299999999, 'lng': 110.3803114}",-79794413,1103803114,149,23,1
Pantai Patihan,"This beach is located in the Srigading area, Sanden and quite close to Goa Cemara Beach. The place is also really fun for taking photos, not much different from Pandasari.",Nautical,Yogyakarta,5000,41,45.0,"{'lat': -7.997777999999999, 'lng': 110.2449113}",-7997778,1102449113,152,21,2
"Bukit Paralayang, Watugupit","Parangtritis Paragliding Hill is a tourist attraction in Yogyakarta, this place offers views of Parangtritis beach from the top of the hill at a height of 900 meters above sea level and views of the sunset. Apart from that, on the Parangtritis paragliding hill there is the extreme sport of paragliding, for tourists who are interested, there are experts accompanying them. Initially this hill was just an ordinary hill. Then in 1991 the first concrete runway was made to be used for paragliding. Then continued the construction of pavilion facilities, stairs and parking areas in 1998",Nature preserve,Yogyakarta,5000,47,90.0,"{'lat': -8.026855099999999, 'lng': 110.3459122}",-80268551,1103459122,161,13,1
Watu Mabur Mangunan,"The Watu Mabur Cliff area has not been known for long by the public. This actually happened because previously the tourism potential in the Mangunan area had not been developed to such an extent. In the past, the Watu Mabur Cliff Area was an area used for camping. The camping area itself is quite large and can accommodate dozens of large tents. Until now, the camping area still exists, but it is rarely used for camping activities, because in Yogyakarta there are so many spots for camping. Visiting the Watu Mabur Cliffs is incomplete if you don't try some of the photo spots which are currently very popular. The most famous photo spot is the highway / runway which ends directly facing the ravine. So when you take a photo in this place it feels like you are on an endless road._x000D_",Nature preserve,Yogyakarta,2500,45,60.0,"{'lat': -7.947121, 'lng': 110.441}",-7947121,110441,163,23,1
Pintoe Langit Dahromo,"Dahromo Sky Door provides various hit and instagrammable selfie spots with a panoramic backdrop of the special beauty of parts of the city of Jogja. There are various photo spots such as photo spots of houses with flowers around them, sky doors, love-shaped viewing posts, and also dragonfly wings. Dahromo Heavenly Doors is located on Jl. Dahromo, Karang Asem, Muntuk, Dlingo, Bantul, Yogyakarta Special Region 55783. Precisely on the hilly tourist route south of Lintang Sewu hill. To reach the Heaven's Gate, the route is quite easy because it is close to other tourist attractions.",Nature preserve,Yogyakarta,2500,44,60.0,"{'lat': -7.913608000000001, 'lng': 110.437783}",-7913608,110437783,164,18,1
Geoforest Watu Payung Turunan,"For hunters of the beauty of the sunrise who live or are domiciled in Yogyakarta and its surroundings, the Watu Payung Turunan Geoforest is the right destination. The beauty of the sunrise, natural panorama and unique ornaments are the perfect combination presented at the Watu Payung Derunan Geoforest. Not only for taking photos, this tourist attraction is also suitable for just relaxing and enjoying the beauty of the morning.",Nature preserve,Yogyakarta,0,45,60.0,"{'lat': -7.974294, 'lng': 110.4364363}",-7974294,1104364363,167,33,1
Pantai Timang,"Timang Beach is a tourist attraction in the form of a beach, namely the area that is the boundary between the sea and land located in Gunungkidul Regency, Special Region of Yogyakarta. Timang Beach is one of the beaches in Yogyakarta with white sand. Timang Beach is located between Siung Beach and Sundak Beach, Gunungkidul. Access to this beach is quite difficult, many roads to this beach are still not paved because the location of this beach is quite remote. The unique thing about this beach is that there is an island which is a habitat for sea lobsters on the other side of the beach._x000D_",Nautical,Yogyakarta,10000,47,90.0,"{'lat': -8.1759266, 'lng': 110.6624196}",-81759266,1106624196,168,22,2
Puncak Segoro,"Puncak Segoro is the newest tourist destination in Yogyakarta which offers a charming sunset. Puncak Segoro Jogja itself is located on the southern coast of Yogyakarta. Why is it called Puncak Segoro, because its location is above the ocean with extraordinary natural landscape views. In the form of high cliffs overlooking the South Sea, the beauty of the panorama presented is very special.",Nature preserve,Yogyakarta,5000,42,90.0,"{'lat': -8.1026167, 'lng': 110.4562084}",-81026167,1104562084,169,30,1
Candi Borobudur,"Borobudur (Javanese: ê¦•ê¦¤ê§€ê¦ ê¦¶â€‹ê¦§ê¦«ê¦§ê¦¸ê¦ ê¦¸ê¦‚, translit. Barabudhur Temple) is a Buddhist temple located in Borobudur, Magelang, Central Java, Indonesia. This temple is located approximately 100 km southwest of Semarang, 86 km west of Surakarta, and 40 km northwest of Yogyakarta. This stupa-shaped temple was founded by followers of Mahayana Buddhism around 800 AD during the reign of the Syailendra dynasty. Borobudur is the largest Buddhist temple or shrine in the world, as well as one of the largest Buddhist monuments in the world.\nThis monument consists of six square terraces on top of which there are three circular courtyards, the walls are decorated with 2,672 relief panels and originally there were 504 Buddha statues . Borobudur has the most complete and largest collection of Buddhist reliefs in the world. The largest main stupa is located in the center and crowns this building, surrounded by three circular rows of 72 perforated stupas in which there is a statue of Buddha sitting cross-legged in a perfect lotus position with the Dharmachakra mudra (turning the wheel of dharma).\nThis monument is a model of the universe and was built as a holy place to glorify Buddha as well as functioning as a place of pilgrimage to guide humanity from the realm of worldly desires to enlightenment and wisdom according to Buddhist teachings. Pilgrims enter via the east side and begin the ritual at the base of the temple by walking in a clockwise circle around this sacred building, while continuing to climb the next steps through the three realms of Buddhist cosmology. The three levels are KÄ madhÄ tu (the realm of lust), Rupadhatu (the realm of form), and Arupadhatu (the realm of intangibility). On their journey, pilgrims walk through a series of hallways and stairs and see no less than 1,460 beautiful relief panels carved on the walls and balustrades.\nAccording to historical evidence, Borobudur was abandoned in the 14th century as the influence of the Hindu and Buddhist kingdoms in Java weakened. and the beginning of the influence of Islam. The world began to become aware of the existence of this building since it was discovered in 1814 by Sir Thomas Stamford Raffles, who at that time served as British Governor General of Java. Since then Borobudur has undergone a series of rescue and restoration efforts. The largest restoration project was carried out in the period 1975 to 1982 through the efforts of the Government of the Republic of Indonesia and UNESCO, then this historic site was included in the list of World Heritage Sites. Borobudur is still used as a place of religious pilgrimage; Every year Buddhists who come from all over Indonesia and abroad gather at Borobudur to commemorate the Vesak Trisuci. In the world of tourism, Borobudur is the single tourist attraction in Indonesia that is most visited by tourists.",Culture,Yogyakarta,50000,47,120.0,"{'lat': -7.6078738, 'lng': 110.2037513}",-76078738,1102037513,170,19,0
Candi Ijo,"Ijo Temple (Javanese: ê¦•ê¦¤ê§€ê¦ ê¦¶â€‹ê¦†ê¦—ê¦ºê¦´, translit. Candhi Ijo) is a Hindu temple complex, located 4 kilometers southeast of Ratu Boko Temple or approximately 18 kilometers east of the city of Yogyakarta. This temple is estimated to have been built between the 10th and 11th centuries AD during the Medang Kingdom era in the Mataram period._x000D_",Culture,Yogyakarta,5000,46,60.0,"{'lat': -7.783827600000001, 'lng': 110.5118987}",-77838276,1105118987,171,23,0
Pasar Beringharjo,"Beringharjo Market (Javanese: ê¦¥ê¦±ê¦‚ê¦§ê¦¼ê¦«ê¦¶ê¦ ê¦²ê¦‚ê¦—, translit. Beringharjo Market) is the oldest market with historical and philosophical value which cannot be separated from the Yogyakarta Palace. Beringharjo has the literal meaning of a banyan tree forest which is expected to provide prosperity for the people of Yogyakarta. Beringharjo Market is located on Jalan Jenderal Ahmad Yani number 16, Yogyakarta. There are many types of goods that can be purchased at Beringharjo Market, ranging from batik, market snacks, old money, children's and adult clothing, fast food, basic ingredients for traditional herbal medicine, basic necessities to antiques.",Shopping center,Yogyakarta,0,45,60.0,"{'lat': -7.798794300000001, 'lng': 110.367443}",-77987943,110367443,174,31,3
Museum Ullen Sentalu,"Ullen Sentalu Museum, (Javanese: ê¦©ê¦¸ê¦±ê¦¶ê¦ªê¦¸ê¦©ê§€â€‹ê¦ˆê¦ê§€ê¦ê¦ºê¦¤ê§ €â€‹ê¦±ê¦¼ê¦¤ê§€ê¦ ê¦ê¦¸, translit. Musiyum UllÃ¨n Sentalu) is located in Pakem District (Kaliurang), Sleman Regency, Special Region of Yogyakarta, is a museum that displays culture and life of the nobles of the Mataram Dynasty (Kasunanan Surakarta, Sultanate of Yogyakarta, Praja Mangkunegaran, and Duchy of Pakualaman) along with a collection of various batik (both Yogyakarta and Surakarta styles).\nThis museum also displays figures of kings and their queens in various kinds of clothing. worn, both for formal events and for everyday life. \nThe name Ullen Sentalu is an acronym from Javanese: ""ULating bLENcong SEjatiNe TAtaraning LUmaku"" which means ""The flame of the blencong lamp as a guide for mankind in moving forward and pursuing life"". This philosophy is taken from an oil lamp used in wayang kulit performances (blencong) which is a light that is always moving to direct and illuminate our life journey. This museum was founded by a Yogyakarta nobleman who was known to be very close to the Surakarta and Yogyakarta royal families.\nAt the Ullen Sentalu Museum, you can find out how Javanese ancestors made batik which has deep significance and meaning in each pattern. There is also various history regarding the state of Javanese culture from the Ancient Mataram period to Islamic Mataram with all its rules. The condition of a well-built museum can make visitors feel like they have been absorbed into the amazing era of ancient Java._x000D_",Culture,Yogyakarta,100000,47,120.0,"{'lat': -7.5978656, 'lng': 110.4233959}",-75978656,1104233959,175,12,0
Museum Gunung Merapi,"Mount Merapi Museum (Javanese: ê§‹ê¦©ê¦¸ê¦±ê¦¶ê¦ªê¦¸ê¦©ê§€â€‹ ê¦'ê¦¸ê¦¤ê¦¸ê¦ â€‹ ê¦©ê¦¼ê¦«ê¦¥ê¦¶ê§‰, translit Musiyum Gunung Merapi) is a historical museum located in Yogyakarta, precisely on Jln. Boyong, Banteng Hamlet, Hargobinangun Village, Pakem District, Sleman Regency, Yogyakarta Special Region, about five kilometers from the Kaliurang tourist attraction area. The Mount Merapi Museum was inaugurated on October 1 2009 by the Minister of Energy and Mineral Resources (ESDM), Purnomo Yusgiantoro.\nWith a building area of around 4,470 meters standing on 3.5 hectares of land, the future museum will also be equipped with a garden. The public wants to know the public as the Merapi Volcano Museum, the parking area and plaza with the slogan Merapi Window of the Earth. to provide insight and understanding of scientific, socio-cultural and other aspects related to volcanoes and other sources of geological disasters. It is hoped that the Volcano Museum can be an alternative solution as a very important and potential facility as a volcanic information service center in an effort to educate people's lives, as well as as a medium for increasing public awareness and vigilance about the benefits and threats of volcanic eruptions and other geological disasters.",Culture,Yogyakarta,10000,44,60.0,"{'lat': -7.615927200000001, 'lng': 110.4243329}",-76159272,1104243329,176,22,0
Candi Ratu Boko,"Ratu Baka Site or Boko Temple (Hanacaraka:ê¦•ê¦¤ê§€ê¦ ê¦¶â€‹ê¦«ê¦ ê¦¸â€‹ê¦§ê¦ , Javanese: Ratu Baka Temple) is an ancient site which is a complex of a number of remaining buildings located approximately 3 km south of the Prambanan Temple complex, 18 km east of Yogyakarta City or 50 km southwest of Surakarta City, Central Java, Indonesia. The Ratu Boko site is located on a hill at an altitude of 196 meters above sea level. The total area of the complex is approximately 25 ha.",Culture,Yogyakarta,75000,46,90.0,"{'lat': -7.7705416, 'lng': 110.4894158}",-77705416,1104894158,179,23,0
Hutan Mangrove Kulon Progo,"Here there is the Kulon Progo Mangrove Forest tourist area which presents its natural beauty. This mangrove forest provides its own charm apart from Glagah beach which has become a favorite in Kulon Progo. The location of the Kulon Progo mangrove forest is actually in the Pasir Mendit area, Temon Kulon Progo District._x000D_",Nautical,Yogyakarta,5000,41,120.0,"{'lat': -7.8933459, 'lng': 110.0198257}",-78933459,1100198257,182,17,2
Pantai Sepanjang,"Who would have thought, it turns out that Yogyakarta also has its own ""Kuta"", namely Panjang Beach, one of the beaches in Gunungkidul Regency. This area does have a collection of countless beautiful beaches. In fact, this beach is predicted to be 'Kuta Tempo Doeloe'. Indeed, what kind of charm does this beach offer?",Nautical,Yogyakarta,10000,44,120.0,"{'lat': -8.136665599999999, 'lng': 110.5659962}",-81366656,1105659962,184,18,2
Pantai Samas,"Samas Beach (Javanese: ê¦¥ê¦±ê¦¶ê¦±ê¦¶ê¦‚â€‹ê¦±ê¦©ê¦±ê§€, translit. Pasisir Samas) is one of the beaches that is on a row of beaches east of Parangtritis Beach. The location of Samas Beach is approximately 14 km south of Bantul City or around 35 km from the center of Yogyakarta City, precisely in Srigading Village, Sanden District, Bantul Regency, Yogyakarta Special Region.",Nautical,Yogyakarta,4000,4,45.0,"{'lat': -8.0045535, 'lng': 110.2703756}",-80045535,1102703756,190,25,2
Pantai Kesirat,"In general, beaches are synonymous with sand, aren't they, but Kesirat beach has its own uniqueness that you will find here. Kesirat beach does not have sand, but you will find cliffs that have a beautiful structure, then you can enjoy the beach on it, this place is also very suitable for enjoying the sunset. The beauty of this beach makes everyone unable to forget it, just like their ex promised hehee... Kesirat beach has really instagrammable photo spots, perfect for those of you who like taking photos. Another unique thing that is characteristic of Kesirat Beach tourism is the presence of a tree that appears to be standing firmly which is the icon of this tourist spot. Many tourists use this tree as a background for their photos.",Nautical,Yogyakarta,5000,46,90.0,"{'lat': -8.096153500000002, 'lng': 110.4350483}",-80961535,1104350483,201,37,2
Wisata Kaliurang,"Jogja is always interesting to explore, especially its tourist attractions. Various tours are available in Jogja, ranging from artificial tourism to natural tourism. Like the Kaliurang Tourism Park, which combines natural elements with a recreational park. This recreation park is located on the slopes of Mount Merapi. It's not surprising that this tourist attraction is very cool. Spending time on holiday here is the right choice.",Nature preserve,Yogyakarta,8000,44,60.0,"{'lat': -7.6120675, 'lng': 110.4205209}",-76120675,1104205209,206,22,1
Taman Sungai Mudal,"Mudal River Park, an outdoor tourist attraction located in Kulon Progo Regency, which offers the charm of a bathing pool that originates from a natural spring. The spring comes from a cave, so the presence of the Mudal River Park eliminates the haunted impression of a cave. Moreover, it is coupled with the support of facilities that make tourists feel comfortable when they are there. Mudal River Park is one of the Kulon Progo tourist attractions which is always the main destination when the holidays arrive. One of the main reasons is because the Mudal River Park is able to become a fun family tourist destination.",Nature preserve,Yogyakarta,10000,46,150.0,"{'lat': -7.762813599999998, 'lng': 110.1161626}",-77628136,1101161626,208,33,1
Taman Hutan Raya Ir. H. Djuanda,"Grand Forest Park Ir. H. Djuanda (Tahura Djuanda) is an integrated conservation area between secondary nature and plantation forests of the Pine species (Pinus merkusil) located in the Cikapundung River Sub-Watershed and the Citarum Watershed which stretches from Curug Dago, Dago Pakar to Curug Maribaya which is part of the Mount Pulosari forest group.\nTahura Djuanda is located in the north of Bandung City, approximately 7 km from the city center, geographically located at 1070 30' East Longitude and 60 52' South Latitude, administratively located in the Ciburial Village area, Cimenyan District, Bandung Regency and parts of it include Mekarwangi Village, Cibodas Village, Langensari Village, and Wangunharja Village, Lembang District, West Bandung Regency and Dago Village, Coblong District, Bandung City.\nBased on the reconstruction of the boundaries of Tahura Djuanda in 2003, the area is 526.98 ha.",Nature preserve,Bandung,15000,45,90.0,"{'lat': -6.8565791, 'lng': 107.6323734}",-68565791,1076323734,215,20,1
Kebun Binatang Bandung,"Bandung Zoo is one of the natural flora and fauna tourist attractions in Bandung City, West Java, Indonesia. Bandung Zoo is located adjacent to the Bandung Institute of Technology campus and the Cikapundung River.",Nature preserve,Bandung,20000,4,180.0,"{'lat': -6.8897177, 'lng': 107.6077282}",-68897177,1076077282,217,21,1
Museum Konferensi Asia Afrika,"The Asian-African Conference Museum is one of the museums in the city of Bandung, located on Jalan Asia Afrika No. 65. This museum is a memorabilia of the Asian-African Conference. This museum has a very close relationship with Gedung Merdeka. Overall, Gedung Merdeka has two main buildings, the first is called Gedung Merdeka as the main meeting place, while next to Gedung Merdeka is the Asian-African Conference Museum as a place for memorabilia of the Asian-African Conference. The background to the construction of this museum was the desire of the leaders of nations in Asia and Africa to know about the Merdeka Building and its surroundings where the Asian-African Conference took place. This made the Minister of Foreign Affairs of the Republic of Indonesia, Prof. Dr. Mochtar Kusumaatmadja, SH, LL.M had the idea to build a museum. He conveyed this idea at the meeting forum of the Committee to Commemorate the 25th Anniversary of the Asian-African Conference (1980) which was attended by the Director General of Culture, Prof. Dr. Haryati Soebadio as representative from the Ministry of Education and Culture. Then this museum was inaugurated on April 24 1980 to coincide with the 25th anniversary of the Asian-African Conference.",Culture,Bandung,0,46,60.0,"{'lat': -6.921109200000001, 'lng': 107.609597}",-69211092,107609597,222,18,0
Amazing Art World,"Amazing Art World Bandung, a tourist attraction located in Bandung, which emphasizes that tourist destinations are not just about beaches, waterfalls or other natural attractions. The resulting painting turns out to be a very pleasant tourist destination. Moreover, 3D paintings, apart from being cool, are capable of manipulating the eyes of visitors. The size of Amazing Art World Bandung makes it one of the largest 3D painting museums, not only at the national level, but in the world.",Culture,Bandung,75000,45,45.0,"{'lat': -6.8516591, 'lng': 107.5955534}",-68516591,1075955534,234,23,0
Gua Belanda,"Bandung Dutch Cave is a cave located in an area which is now designated as the Ir. Forest Park. H. Djuanda is a stretch of mountains from West to East which is a ""natural giant water tank"" for reserves in the dry season. In the Cikapundung River Basin area in the Ir. Forest Park. H. Djuanda, during the Dutch occupation, built the Bengkok Hydroelectric Power Plant (PLTA), which was the first hydroelectric power plant in Indonesia, in 1918, where the tunnel passed through tufaan sandstone hills.",Nature preserve,Bandung,15000,44,45.0,"{'lat': -6.8544594, 'lng': 107.6377907}",-68544594,1076377907,235,22,1
Lembang Park & Zoo,"At Lembang Park & Zoo there are 370 animals, including various types of herbivores, carnivores and omnivores. The total area of this place reaches 20 hectares, but only 10 hectares have been developed. The rest will be developed as safari concept tourism. In the safari area, visitors can go around using vehicles to see the animals that are freely released in the area.",Nature preserve,Bandung,50000,45,210.0,"{'lat': -6.8059154, 'lng': 107.5919726}",-68059154,1075919726,239,21,1
Curug Tilu Leuwi Opat,"Curug Tilu Leuwi Opat is one of the waterfall tourist attractions in Lembang. The place itself is quite spacious. Here there are outbound areas, camping, and of course waterfall and river tourism. The front area is a valley with a clear river. Usually outbound, camping and games are held in this area. The location of the Tilu Leuwi Opat waterfall is actually directly next door to Dusun Bambu, you know. Have you ever been to Bamboo Village? If you go up to the Lutung Kasarung skywalk, or visit the camping area, you can see the valley which directly borders the bamboo village. Well, the valley is included in the tourist area of Curug Tilu Leuwi Opat. In this valley flows a river with clear water which originates from Situ Lembang.",Nature preserve,Bandung,10000,44,120.0,"{'lat': -6.790569199999999, 'lng': 107.5826388}",-67905692,1075826388,246,26,1
Museum Barli,"The Barli Museum is a museum located in Bandung City. This museum is dedicated to remembering and exhibiting the work of painter Barli Sasmitawinata. This museum was founded in 1990 and inaugurated in October 1992 by Soesilo Soedarman, Minister of Tourism, Post and Telecommunications at that time. Initially this museum was not open to the public. However, currently the museum can be visited by anyone. This museum is also a place for various art activities such as fine art exhibitions, work sales, discussions and workshops, ceramic and painting studio training.",Culture,Bandung,15000,44,180.0,"{'lat': -6.878238699999999, 'lng': 107.5875349}",-68782387,1075875349,255,24,0
Monumen Perjuangan Rakyat Jawa Barat,"The West Java People's Struggle Monument (Monju) is the West Java People's Struggle History Museum, in Tatar Pasundan or Parahyangan. The monument was inaugurated by the Governor of West Java, Raden Nana Nuriana on August 23 1995.",Culture,Bandung,0,45,45.0,"{'lat': -6.8934327, 'lng': 107.6185513}",-68934327,1076185513,259,29,0
Curug Batu Templek,"Curug Batu Templek Bandung is a natural waterfall tourist attraction located in East Bandung City. Of the many natural waterfall attractions in Bandung, Curug Batu Templek is no less interesting because the surrounding scenery is filled with rocky cliffs. The history of Curug Batu Templek is very simple, only because in this place there was previously a stone quarry where there was a waterfall and it was known that the flow came from the river on the cliff, so it was called Curug Batu Templek.",Nature preserve,Bandung,5000,41,90.0,"{'lat': -6.874363300000001, 'lng': 107.6844023}",-68743633,1076844023,263,21,1
Museum Mandala Wangsit Siliwangi,"The Wangsit Mandala Siliwangi Museum is a military museum located in Bandung City, West Java. Siliwangi is the name of the TNI-AD military regional command in West Java and Banten whose name is taken from the king of the Sunda Kingdom whose capital was Pakuan Pajajaran, whose power was said to be unlimited, who was also wise and wise and had authority in running the government. Meanwhile, the meaning of Mandala Wangsit is a place to store messages, advice or advice from past warriors to future generations through the objects they left behind. This museum was inaugurated by the Siliwangi division commander Colonel Ibrahim Adjie on May 23 1966. This museum is located on Jalan Lembong, Sumurbandung district. This road is taken from the name of Lieutenant Colonel Lembong, one of the Siliwangi soldiers who was a victim in the Ratu Adil Army Coup Incident. Previously the street was called Oude Hospitaalweg.",Culture,Bandung,0,44,60.0,"{'lat': -6.9173405, 'lng': 107.6112627}",-69173405,1076112627,265,29,0
Taman Budaya Jawa Barat,"West Java Cultural Park (TBJB) was founded in 1991 in the Dago Tea House area. TBJB has the facilities of a closed theater building, open theater, exhibition hall, secretariat, arts studio, arts guesthouse and cafeteria. All of these facilities are intended for the smooth activities and work of Bandung residents, especially artists. TBJB holds various interesting agendas such as art performances, art competitions, art work experimentation, seminars, workshops, arts and culture workshops, book publishing, etc.",Culture,Bandung,0,43,120.0,"{'lat': -6.870099, 'lng': 107.6164386}",-6870099,1076164386,272,22,0
Curug Bugbrug,"Bugbrug Waterfall As the name suggests, the word Bugbrug in Sundanese means piled up or overlapping. So if you are asked why this waterfall in Bandung is called Curug Bugbrug then the answer is because the water that falls from top to bottom looks like it is piled up. And when the fall came, there was a sound at the bottom of the waterfall like â€ brugâ€¦brugâ€¦brug â€ so loud. The waterfall is at an altitude of 1,050 meters above sea level, has a height of 50 meters and the width of the waterfall is around 2 meters. This place is the center of interest for tourists on holiday in Bandung.",Nature preserve,Bandung,7500,43,120.0,"{'lat': -6.790388999999999, 'lng': 107.5777632}",-6790389,1075777632,273,21,1
Curug Cipanas,"Who says soaking in hot water has to dig deep into your pockets? West Bandung Regency has a solution for travelers who want to experience the benefits of genuine mountain hot springs without having to pay a fortune. It is Cipanas Nagrak Waterfall, a natural tourist attraction that offers natural hot springs. This hot spring is not just a pool, but is a natural waterfall in the middle of a plantation area. The spring flows freely into a small waterfall in the middle of green hilly land. Visitors will feel the sensation of soaking in a comfortable hot pool in the middle of open nature._x000D_",Nature preserve,Bandung,20000,39,180.0,"{'lat': -6.7991958, 'lng': 107.5922088}",-67991958,1075922088,275,25,1
Curug Cilengkrang,"Cilengkrang Waterfall could be a natural tourist destination in Bandung. Offers a cool forest area and a refreshing waterfall area. Even though it is not big, the waterfall area is enough to calm and refresh tourists. As if in contrast to the hustle and bustle of Bandung. Cilengkrang Waterfall offers natural tourism that is calm and very green. Stunning waterfalls, as well as forests with beautiful trees. Where, this place is also a living habitat for various wild animals that are still preserved.",Nature preserve,Bandung,7500,4,60.0,"{'lat': -6.8908877, 'lng': 107.7307085}",-68908877,1077307085,282,23,1
Taman Sejarah Bandung,"Bandung Historical Park is a park located behind Bandung City Hall, the Bandung City Government complex. This park functions to introduce history in the city of Bandung. This park is equipped with information about Bandung city leaders from time to time. The construction of this park cost around 3.5 billion rupiah.",Culture,Bandung,0,46,45.0,"{'lat': -6.9103086, 'lng': 107.6098619}",-69103086,1076098619,285,25,0
Taman Film,"Film Park is one of the thematic parks and public open spaces in Bandung City which is located under the Pasupati Bridge, Bandung, West Java. This park was inaugurated by the Mayor of Bandung, Ridwan Kamil, on September 14 2014. This park has a modern open-air cinema concept so that residents can do activities in the park and have the opportunity to watch films for free. The Film Park is managed by the Bandung Film Community and the Bandung City Parks Department.",Culture,Bandung,0,43,90.0,"{'lat': -6.8986869, 'lng': 107.6077451}",-68986869,1076077451,294,31,0
Mountain View Golf Club,"Welcome to Mountain View Golf Club Dago Pakar Bandung. The 72 par, 18 hole Golf Course has been designed by 5 times world champion from England Peter Thompson and of course the famous architect Ross Peret, located in a prestigious residential complex only 30 minutes from Bandung international airport or 20 minutes from the city center. Golfers and visitors sitting in the front row will be presented with views of the Club House and golf courses in the mountains close to the city of Bandung. Equipped with world class facilities, complete with VIP rooms, Massage Room, luxury lockers for men and women, Champions Bar, Restaurant and Golf Shop adjacent to the lobby entrance.",Nature preserve,Bandung,375000,44,120.0,"{'lat': -6.8629384, 'lng': 107.6482191}",-68629384,1076482191,297,27,1
Sendang Geulis Kahuripan,"This area is more precisely located in the Cikalong Wetan RPH, BKPH Padalarang Perum Perhutani BKPH North Bandung. Judging from the area, it reminds me of a tourist attraction in Central Java. More precisely, it is in Klaten, Umbul Ponggok. For Native friends who have been to Umbul Ponggok, this spring tourist attraction is almost exactly the same. It's just that this area is used multi-purpose. The meaning of multi-purpose is. The spring water that comes out of this tourist attraction is also used by some local people as a place to wash. Wait a minute, don't feel disgusted yet. The spring that produces this spring flows clean water almost every minute.",Nature preserve,Bandung,10000,43,120.0,"{'lat': -6.7495268, 'lng': 107.478658}",-67495268,107478658,299,17,1
Lereng Anteng Panoramic Coffee Place,"Lereng Anteng Panoramic Coffee is a fun hangout place in the form of a cafe and restaurant with a combination of cafes and natural tourist spots. This eating place was opened on June 1 2016 and occupies an area of around 500 m² and comes with a cozy concept. The name of this cafe is taken from the words Lereng which means a place on the outskirts of the highlands and Anteng (Sundanese) which means a place with a comfortable atmosphere. Apart from serving a variety of food and drink menus, Lereng Anteng Panoramic Coffee also offers an extraordinarily beautiful view.",Nature preserve,Bandung,50000,44,150.0,"{'lat': -6.842535, 'lng': 107.622698}",-6842535,107622698,301,11,1
Taman Bunga Cihideung,Cihideung Flower Park has a simple natural charm but is able to produce a landscape that attracts attention. The charm of this garden/flower garden is that it is only limited to flower-like plants. Then there are also several other attractions that make this natural tourist destination included in the Bandung tourist list. One of them is a very contemporary and instagrammable photo spot area which is the main target of teenage tourists. Especially for influencers who are looking for the perfect backdrop for content.,Nature preserve,Bandung,0,41,45.0,"{'lat': -6.8038883, 'lng': 107.5866313}",-68038883,1075866313,310,18,1
The Lodge Maribaya,"The Lodge Maribaya is one of the tourist attractions in Lembang which offers various things to visitors. Here we can do various activities such as camping, trekking around the beautiful pine forest area, gathering and team building events, or even just refreshing and enjoying culinary delights. There are also various rides which are definitely very Instagrammable. Surrounded by mountains with distinctive pine forests, the air and atmosphere here are really fresh. Want to hold a private gathering, or even a wedding here? really can. With a beautiful green mountain backdrop, it will certainly make your event more memorable.",Nature preserve,Bandung,25000,43,150.0,"{'lat': -6.829411199999999, 'lng': 107.6874666}",-68294112,1076874666,311,21,1
